experiment,n,m,q,sigma,B,noise_model,repeats,trials_total,successes_total,failures_total,success_rate_mean,success_rate_std,success_rate_ci95,failure_rate_mean,failure_rate_std,failure_rate_ci95,accumulated_error_mean_mean,accumulated_error_mean_std,accumulated_error_mean_ci95,accumulated_abs_error_mean_mean,accumulated_abs_error_mean_std,accumulated_abs_error_mean_ci95,accumulated_error_std_mean,accumulated_error_std_std,accumulated_error_std_ci95,time_keygen_s_mean,time_keygen_s_std,time_keygen_s_ci95,time_encrypt_mean_s_mean,time_encrypt_mean_s_std,time_encrypt_mean_s_ci95,time_decrypt_mean_s_mean,time_decrypt_mean_s_std,time_decrypt_mean_s_ci95,public_key_size_bytes_mean,public_key_size_bytes_std,public_key_size_bytes_ci95
noise_sweep,64,128,257,0.0,,gaussian,30,30000,30000,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.516110010522728e-05,5.203642916408645e-06,1.8620997029257364e-06,6.399083366947405e-06,8.144355312983783e-08,2.9144201192220668e-08,2.2551791994677236e-06,7.513113964733845e-08,2.6885333037866425e-08,9360.0,0.0,0.0
noise_sweep,64,128,257,0.5,,gaussian,30,30000,30000,0,1.0,0.0,0.0,0.0,0.0,0.0,-0.3457,2.971990452831929,1.0635131249812801,3.4673666666666674,1.0958459646140601,0.3921434421884841,3.20301138718195,0.2101933692806948,0.07521673119812598,2.5159566818426052e-05,1.7423294723843495e-06,6.234845943589086e-07,6.399851335057368e-06,1.2455723119562238e-07,4.457223274780265e-08,2.274052700280057e-06,5.0240220099409927e-08,1.7978231870414555e-08,9360.0,0.0,0.0
noise_sweep,64,128,257,1.0,,gaussian,30,30000,30000,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0993666666666664,5.694829254703769,2.0378684767085034,6.4777,2.1661907794798334,0.7751614151367917,5.794646449813441,0.3716217697930086,0.1329831424347402,2.8897299489472062e-05,9.531566840804581e-06,3.4108273891569223e-06,6.557259733381217e-06,2.2148842670901045e-07,7.925861558943844e-08,2.3183334337469814e-06,9.457164141873172e-08,3.38420272528151e-08,9360.0,0.0,0.0
noise_sweep,64,128,257,2.0,,gaussian,30,30000,30000,0,1.0,0.0,0.0,0.0,0.0,0.0,3.3089,9.962481173261319,3.565028102646295,12.35196666666667,3.5113480021145755,1.256519745232449,11.33426714107844,0.6497847116630918,0.23252247281191218,2.4941700879329194e-05,1.1305664373790226e-06,4.0456800380035173e-07,6.528666701342444e-06,1.5792164075515366e-07,5.6511533373752226e-08,2.2987485979683693e-06,7.425976516485986e-08,2.657351568394232e-08,9360.0,0.0,0.0
noise_sweep,64,128,257,3.0,,gaussian,30,30000,29879,121,0.9959666666666667,0.009367895775699471,0.003352258450702531,0.004033333333333333,0.009367895775699462,0.003352258450702528,1.4107666666666665,16.296338426655602,5.831569811864781,18.677766666666667,6.007545936991033,2.149772704293152,16.77304509458546,0.8659244378769223,0.3098670805105118,2.8106999040270844e-05,5.377489000365747e-06,1.924309725114334e-06,6.545372298569418e-06,2.2724391107411656e-07,8.131818921864788e-08,2.331204098785141e-06,1.0039854262120818e-07,3.5927157069062654e-08,9360.0,0.0,0.0
noise_sweep,64,128,257,4.0,,gaussian,30,30000,28404,1596,0.9467999999999999,0.060880550090405265,0.02178582505725425,0.0532,0.060880550090405265,0.02178582505725425,2.3765999999999994,25.915641451341365,9.27379319120885,27.784533333333336,8.506530427421257,3.044022819452421,22.500784313551517,1.3593709991764173,0.4864446647079434,2.7458434245393923e-05,3.181360051409694e-06,1.1384350736192178e-06,6.656252833878775e-06,2.4542122977294964e-07,8.782285917637129e-08,2.3533723331638616e-06,7.921499716492228e-08,2.834672268209133e-08,9360.0,0.0,0.0
noise_sweep,64,128,257,5.0,,gaussian,30,30000,26455,3545,0.8818333333333332,0.1540689687329567,0.055132872396577694,0.11816666666666668,0.15406896873295667,0.05513287239657769,1.1432666666666667,29.05685902755366,10.397863464563992,32.907333333333334,13.1644241943131,4.710828697357477,29.557747892996204,5.013376875302265,1.7940138745335057,2.7861165290232747e-05,4.3830163525508546e-06,1.5684422584546643e-06,6.624277833907398e-06,2.000151235806706e-07,7.157449275118029e-08,2.350088899159649e-06,7.392720407322606e-08,2.645451022567322e-08,9360.0,0.0,0.0
noise_sweep,64,128,257,6.0,,gaussian,30,30000,24489,5511,0.8162999999999999,0.20574978945814007,0.0736266165802658,0.1837,0.20574978945814004,0.0736266165802658,5.723233333333334,29.090717479900736,10.409979556130962,37.986966666666675,17.29142498562028,6.187656963808011,36.907494532316235,10.04340423307597,3.5939860476977397,2.653756431148698e-05,2.7955386266225954e-06,1.0003706499030957e-06,6.514616800025881e-06,1.346607489433325e-07,4.8187730140444734e-08,2.3245305322537505e-06,5.363474599335838e-08,1.919294736112651e-08,9360.0,0.0,0.0
noise_sweep,64,128,257,8.0,,gaussian,30,30000,19026,10974,0.6342,0.21047538966628002,0.07531765089700872,0.36579999999999996,0.21047538966628002,0.07531765089700872,2.977466666666667,30.339705446861192,10.856924160054712,53.24526666666667,17.375989418483897,6.21791795747014,54.533436201369895,15.356890890532998,5.495392828541807,2.792496670736e-05,4.3857466859827344e-06,1.5694192957252963e-06,6.640627799303427e-06,1.2106358984247408e-07,4.332204924552722e-08,2.3781806317856536e-06,6.674906359615242e-08,2.3885845644986926e-08,9360.0,0.0,0.0
noise_sweep,64,128,257,10.0,,gaussian,30,30000,17411,12589,0.5803666666666667,0.18084828530801883,0.06471572776156359,0.4196333333333334,0.18084828530801883,0.06471572776156359,0.18233333333333365,21.115473170057125,7.556075032188465,57.68573333333334,14.718448210308727,5.266929049554985,63.96378892967489,12.31181046275943,4.405724791931886,2.5218100442240637e-05,1.369760159731306e-06,4.901623780663876e-07,6.746322200342548e-06,2.55449365621088e-08,9.141138150268897e-09,2.4884443696161424e-06,3.060919200489227e-08,1.09533586863497e-08,9360.0,0.0,0.0
noise_sweep,64,128,257,12.0,,gaussian,30,30000,15561,14439,0.5187,0.12345406796275174,0.04417747085479698,0.48129999999999995,0.12345406796275173,0.04417747085479698,-1.6980666666666664,16.25500490551021,5.8167788012819805,62.54913333333333,10.192582075260397,3.647368652937386,70.34026397535179,9.141301829482849,3.271172848421053,2.491930160128201e-05,9.931377695458795e-07,3.5538978660588825e-07,6.741337600396947e-06,1.5822722445228978e-08,5.662088509538205e-09,2.477316569032458e-06,1.3587494169515201e-08,4.862222343654087e-09,9360.0,0.0,0.0
noise_sweep,64,128,257,16.0,,gaussian,30,30000,14688,15312,0.4896,0.04650294762626381,0.016640866091518856,0.5104000000000001,0.04650294762626381,0.016640866091518856,-0.0901666666666668,5.721471652277594,2.0474023362381444,64.97856666666665,3.667565618277036,1.3124215012369997,74.5746326668324,3.135604670362023,1.1220617207922092,2.4736065339917936e-05,1.0535793054093701e-06,3.7701851243964665e-07,6.736731966763425e-06,2.2179211427605695e-08,7.936728878962985e-09,2.4781333006103517e-06,1.6545447041376647e-08,5.920712184798479e-09,9360.0,0.0,0.0
noise_sweep,64,128,257,20.0,,gaussian,30,30000,15024,14976,0.5008,0.017454176459004572,0.006245896830591333,0.49920000000000003,0.01745417645900457,0.006245896830591332,-0.3936666666666668,3.5388514923711436,1.266361742821231,64.31293333333333,1.5095443462625848,0.5401835068015726,74.20565496457198,1.4003023045321494,0.5010917442189015,2.478889946360141e-05,1.0327036538815556e-06,3.695482564799711e-07,6.743169435261127e-06,3.1334986892443003e-08,1.1213081051278228e-08,2.4762041328358465e-06,2.3989245488670214e-08,8.58444124922683e-09,9360.0,0.0,0.0
noise_sweep,64,128,257,24.0,,gaussian,30,30000,14989,15011,0.49963333333333343,0.01569643784173787,0.005616898144553057,0.5003666666666666,0.01569643784173787,0.005616898144553057,-0.29113333333333336,2.5465297378485743,0.9112639634412225,64.20886666666667,1.2027308218737292,0.4303916971413533,74.11704133010151,1.013649087007679,0.36272966729443346,2.4869333719834687e-05,1.3440692286063796e-06,4.809689964327708e-07,6.591277631135502e-06,8.271097254655702e-08,2.9597741405733998e-08,2.3797096000635067e-06,5.195021167440621e-08,1.8590144496810465e-08,9360.0,0.0,0.0
